Rank,Title,Score,Episodes,Airing,Link
122,Aria the Origination,8.49,TV (13 eps),Jan 2008 - Apr 2008,https://myanimelist.net/anime/3297/Aria_the_Origination
123,Karakai Jouzu no Takagi-san 3,8.48,TV (12 eps),Jan 2022 - Mar 2022,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
124,Mob Psycho 100,8.48,TV (12 eps),Jul 2016 - Sep 2016,https://myanimelist.net/anime/32182/Mob_Psycho_100
125,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.47,TV (12 eps),Jan 2021 - Mar 2021,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
126,Chihayafuru 3,8.47,TV (24 eps),Oct 2019 - Mar 2020,https://myanimelist.net/anime/37379/Chihayafuru_3
127,Gintama: The Semi-Final,8.47,Special (2 eps),Jan 2021 - Jan 2021,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
128,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.46,Movie (1 eps),Aug 2019 - Aug 2019,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
129,Zoku Owarimonogatari,8.46,Movie (6 eps),Nov 2018 - Nov 2018,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
130,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.46,Movie (1 eps),Oct 2013 - Oct 2013,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
131,Mo Dao Zu Shi,8.46,ONA (15 eps),Jul 2018 - Oct 2018,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
132,Nichijou,8.46,TV (26 eps),Apr 2011 - Sep 2011,https://myanimelist.net/anime/10165/Nichijou
133,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.46,Movie (1 eps),Apr 2013 - Apr 2013,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
