Rank,Title,Score,Episodes,Airing
513,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.04,OVA (1 eps),Oct 2016 - Oct 2016
514,BanG Dream! 3rd Season,8.04,TV (13 eps),Jan 2020 - Apr 2020
515,Detective Conan Movie 10: Requiem of the Detectives,8.04,Movie (1 eps),Apr 2006 - Apr 2006
516,Full Metal Panic? Fumoffu,8.04,TV (12 eps),Aug 2003 - Nov 2003
517,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,8.04,Movie (1 eps),Feb 2008 - Feb 2008
518,Kill la Kill,8.04,TV (24 eps),Oct 2013 - Mar 2014
519,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,8.04,OVA (1 eps),Jul 2017 - Jul 2017
520,Akatsuki no Yona,8.03,TV (24 eps),Oct 2014 - Mar 2015
521,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,8.03,Movie (1 eps),Jun 2021 - Jun 2021
522,Black Lagoon,8.03,TV (12 eps),Apr 2006 - Jun 2006
523,Black Lagoon: Roberta's Blood Trail,8.03,OVA (5 eps),Jun 2010 - Jun 2011
524,Detective Conan Movie 03: The Last Wizard of the Century,8.03,Movie (1 eps),Apr 1999 - Apr 1999
525,Detective Conan Movie 04: Captured in Her Eyes,8.03,Movie (1 eps),Apr 2000 - Apr 2000
526,Douluo Dalu: Hao Tian Yang Wei,8.03,ONA (13 eps),Nov 2019 - Feb 2020
527,Eve no Jikan,8.03,ONA (6 eps),Aug 2008 - Sep 2009
528,FLCL,8.03,OVA (6 eps),Apr 2000 - Mar 2001
529,Ginga Nagareboshi Gin,8.03,TV (21 eps),Apr 1986 - Aug 1986
530,Juuni Kokuki,8.03,TV (45 eps),Apr 2002 - Aug 2003
531,Kamisama Hajimemashita OVA,8.03,OVA (2 eps),Aug 2013 - Aug 2013
532,Lovely★Complex,8.03,TV (24 eps),Apr 2007 - Sep 2007
533,Saiunkoku Monogatari 2nd Season,8.03,TV (39 eps),Apr 2007 - Mar 2008
534,Shokugeki no Souma: San no Sara,8.03,TV (12 eps),Oct 2017 - Dec 2017
535,SK∞,8.03,TV (12 eps),Jan 2021 - Apr 2021
536,Toaru Kagaku no Railgun S,8.03,TV (24 eps),Apr 2013 - Sep 2013
537,Tsumiki no Ie,8.03,Movie (1 eps),Jun 2008 - Jun 2008
538,Zombieland Saga: Revenge,8.03,TV (12 eps),Apr 2021 - Jun 2021
539,Magi: The Labyrinth of Magic,8.02,TV (25 eps),Oct 2012 - Mar 2013
540,Omae Umasou da na,8.02,Movie (1 eps),Oct 2010 - Oct 2010
541,Persona 3 the Movie 4: Winter of Rebirth,8.02,Movie (1 eps),Jan 2016 - Jan 2016
