Rank,Title,Score,Episodes,Airing
77,Ookami Kodomo no Ame to Yuki,8.59,Movie (1 eps),Jul 2012 - Jul 2012
78,Hajime no Ippo: Rising,8.59,TV (25 eps),Oct 2013 - Mar 2014
79,Kizumonogatari II: Nekketsu-hen,8.59,Movie (1 eps),Aug 2016 - Aug 2016
80,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,TV (39 eps),Oct 2018 - Jul 2019
81,Natsume Yuujinchou Go,8.58,TV (11 eps),Oct 2016 - Dec 2016
82,Natsume Yuujinchou San,8.58,TV (13 eps),Jul 2011 - Sep 2011
83,Shouwa Genroku Rakugo Shinjuu,8.58,TV (13 eps),Jan 2016 - Apr 2016
84,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,Movie (1 eps),Apr 2009 - Apr 2009
85,Yojouhan Shinwa Taikei,8.57,TV (11 eps),Apr 2010 - Jul 2010
86,Fate/Zero 2nd Season,8.56,TV (12 eps),Apr 2012 - Jun 2012
87,Fruits Basket 2nd Season,8.56,TV (25 eps),Apr 2020 - Sep 2020
88,Kimi no Suizou wo Tabetai,8.56,Movie (1 eps),Sep 2018 - Sep 2018
89,Neon Genesis Evangelion: The End of Evangelion,8.55,Movie (1 eps),Jul 1997 - Jul 1997
90,Shoujo☆Kageki Revue Starlight Movie,8.55,Movie (1 eps),Jun 2021 - Jun 2021
91,Zoku Natsume Yuujinchou,8.55,TV (13 eps),Jan 2009 - Mar 2009
92,Mushishi: Hihamukage,8.54,Special (1 eps),Jan 2014 - Jan 2014
93,Slam Dunk,8.54,TV (101 eps),Oct 1993 - Mar 1996
94,Bakuman. 3rd Season,8.54,TV (25 eps),Oct 2012 - Mar 2013
95,Haikyuu!! To the Top Part 2,8.54,TV (12 eps),Oct 2020 - Dec 2020
96,Kara no Kyoukai Movie 5: Mujun Rasen,8.54,Movie (1 eps),Aug 2008 - Aug 2008
97,Kenpuu Denki Berserk,8.54,TV (25 eps),Oct 1997 - Apr 1998
98,Kimetsu no Yaiba,8.54,TV (26 eps),Apr 2019 - Sep 2019
99,Gintama.: Porori-hen,8.53,TV (13 eps),Oct 2017 - Dec 2017
100,Perfect Blue,8.53,Movie (1 eps),Feb 1998 - Feb 1998
101,Shingeki no Kyojin,8.53,TV (25 eps),Apr 2013 - Sep 2013
102,Sora yori mo Tooi Basho,8.53,TV (13 eps),Jan 2018 - Mar 2018
103,Yakusoku no Neverland,8.53,TV (12 eps),Jan 2019 - Mar 2019
